"BATHRM","HF_BATHRM","HEAT","AC","ROOMS","BEDRM","AYB","EYB","STORIES","SALEDATE","PRICE","GBA","STYLE","GRADE","CNDTN","EXTWALL","ROOF","INTWALL","KITCHENS","FIREPLACES","LANDAREA","ZIPCODE","LATITUDE","LONGITUDE","ASSESSMENT_NBHD","WARD"
2,1,"Hot Water Rad","Y",8,3,1880,1967,2,"2012-07-25 00:00:00",1174240,1958,"2 Story","Above Average","Good","Common Brick","Built Up","Hardwood",1,2,2090,20009,38.91131903,-77.03407029,"Old City 2","Ward 2"
2,1,"Warm Cool","Y",6,3,1890,1969,1,"2008-07-09 00:00:00",617400,892,"2 Story","Good Quality","Good","Common Brick","Built Up","Hardwood",1,0,771,20009,38.91798126,-77.03887699,"Old City 2","Ward 1"
2,1,"Warm Cool","Y",6,3,1900,1957,2,"1998-07-02 00:00:00",200180,1662,"2 Story","Above Average","Average","Brick/Stone","Built Up","Hardwood",1,1,2190,20009,38.91428064,-77.03001805,"Old City 2","Ward 1"
2,1,"Forced Air","Y",6,2,1875,1967,2,"2016-12-02 00:00:00",1313180,1632,"2 Story","Above Average","Very Good","Common Brick","Built Up","Hardwood",1,1,2200,20005,38.90989683,-77.03546795,"Old City 2","Ward 2"
3,1,"Warm Cool","Y",9,3,2006,2013,3,"2013-11-01 00:00:00",1434120,1524,"3 Story","Very Good","Very Good","Concrete Block","Built Up","Hardwood",2,2,927,20037,38.90172252,-77.05413378,"Foggy Bottom","Ward 2"
3,1,"Warm Cool","Y",7,3,2002,2007,2,"2004-10-20 00:00:00",1018160,1600,"2 Story","Above Average","Good","Common Brick","Built Up","Hardwood",1,1,1487,20037,38.90110587,-77.0539884,"Foggy Bottom","Ward 2"
1,0,"Hot Water Rad","N",5,2,1900,1947,1.5,"1998-12-11 00:00:00",291840,1890,"1.5 Story Fin","Above Average","Average","Common Brick","Metal- Sms","Hardwood",1,1,1254,20009,38.91374746,-77.04118261,"Old City 2","Ward 2"
2,0,"Forced Air","Y",4,1,1900,1964,1,"2012-09-28 00:00:00",592530,1100,"1 Story","Average","Average","Common Brick","Built Up","Lt Concrete",1,0,1425,20009,38.91510007,-77.03268981,"Old City 2","Ward 2"
2,0,"Forced Air","Y",6,2,1959,1976,2,"2017-05-31 00:00:00",662570,1022,"2 Story","Average","Good","Common Brick","Built Up","Hardwood",1,0,1494,20001,38.91069842,-77.01917057,"Old City 2","Ward 6"
2,1,"Forced Air","Y",6,2,1880,1969,2,"2000-04-18 00:00:00",481270,2147,"2 Story","Good Quality","Good","Brick/Stucco","Metal- Sms","Hardwood/Carp",1,2,2421,20003,38.88225139,-77.00105906,"Capitol Hill","Ward 6"
1,1,"Forced Air","Y",5,2,1900,1967,2,"2011-09-30 00:00:00",358120,900,"2 Story","Above Average","Average","Brick/Siding","Built Up","Hardwood",1,0,1029,20001,38.91339289,-77.01690074,"Old City 2","Ward 5"
2,0,"Hot Water Rad","N",10,5,1924,1943,2,"2003-01-22 00:00:00",231740,2259,"2 Story","Average","Average","Common Brick","Metal- Sms","Hardwood",1,0,1530,20001,38.91021781,-77.01172009,"Old City 2","Ward 5"
2,1,"Warm Cool","Y",4,2,1900,1967,1.5,"2018-03-27 00:00:00",1705380,2442,"1.5 Story Fin","Above Average","Good","Common Brick","Comp Shingle","Hardwood",1,0,2244,20009,38.91454634,-77.04408335,"Old City 2","Ward 2"
1,1,"Forced Air","Y",6,1,1940,1964,2,"2017-04-06 00:00:00",788970,1602,"2 Story","Average","Good","Common Brick","Built Up","Hardwood",1,1,910,20001,38.90776887,-77.02548043,"Old City 2","Ward 2"
1,1,"Wall Furnace","N",3,1,1896,1957,3,"2003-05-22 00:00:00",221140,582,"2 Story","Above Average","Average","Common Brick","Built Up","Hardwood",1,1,255,20001,38.91478522,-77.02615874,"Old City 2","Ward 1"
1,0,"Forced Air","N",7,2,1900,1954,2,"2000-11-15 00:00:00",116160,1064,"2 Story","Average","Average","Stucco","Built Up","Lt Concrete",1,0,1848,20001,38.90632442,-77.01801728,"Old City 2","Ward 6"
2,0,"Forced Air","Y",8,3,1916,1956,2,"2013-01-07 00:00:00",460370,2100,"2 Story","Average","Average","Common Brick","Built Up","Hardwood/Carp",1,0,1200,20002,38.90202305,-77.00124485,"Old City 1","Ward 6"
2,1,"Warm Cool","Y",5,2,1895,1954,2,"1997-08-21 00:00:00",226960,2584,"2 Story","Average","Average","Common Brick","Metal- Sms","Lt Concrete",1,1,1278,20002,38.89571243,-77.00001545,"Old City 1","Ward 6"
2,0,"Forced Air","Y",5,2,1905,1969,2,"2014-08-06 00:00:00",557270,946,"2 Story","Good Quality","Good","Common Brick","Built Up","Hardwood",1,0,560,20001,38.90579216,-77.0158318,"Old City 2","Ward 6"
2,1,"Hot Water Rad","Y",7,3,1857,1978,2,"2013-05-08 00:00:00",1073820,1951,"2 Story","Average","Good","Wood Siding","Comp Shingle","Hardwood",1,1,2102,20002,38.89052073,-77.00029946,"Capitol Hill","Ward 6"
2,1,"Forced Air","Y",6,2,1870,1980,2,"2013-02-20 00:00:00",942950,1443,"2 Story","Above Average","Good","Common Brick","Neopren","Wood Floor",1,2,1600,20002,38.89165371,-77.00079005,"Capitol Hill","Ward 6"
3,0,"Forced Air","Y",8,4,1934,1967,2,"2018-02-09 00:00:00",1181740,1410,"2 Story","Above Average","Good","Common Brick","Comp Shingle","Wood Floor",1,0,2930,20002,38.89160596,-77.00073484,"Capitol Hill","Ward 6"
1,0,"Forced Air","N",6,3,1890,1954,2,"2000-08-21 00:00:00",120310,1440,"2 Story","Average","Average","Common Brick","Metal- Sms","Carpet",1,0,2000,20002,38.90444108,-76.99925154,"Old City 1","Ward 6"
3,1,"Hot Water Rad","Y",12,7,1883,1983,3,"2018-01-22 00:00:00",2240970,4725,"2.5 Story Fin","Superior","Good","Stone","Slate","Hardwood",1,5,5127,20002,38.89272987,-76.99522528,"Old City 1","Ward 6"
2,1,"Forced Air","Y",6,3,1969,1980,2,"1997-09-22 00:00:00",294280,2240,"2 Story","Good Quality","Good","Common Brick","Slate","Wood Floor",1,2,2777,20003,38.88171716,-76.99722426,"Capitol Hill","Ward 6"
1,0,"Warm Cool","Y",3,1,1900,1954,2,"1997-12-22 00:00:00",119920,768,"2 Story","Average","Good","Common Brick","Metal- Sms","Wood Floor",1,0,512,20002,38.89679333,-76.99800052,"Old City 1","Ward 6"
1,1,"Wall Furnace","N",7,3,1907,1964,2,"2013-12-06 00:00:00",658000,1100,"2 Story","Average","Good","Wood Siding","Metal- Sms","Hardwood",1,1,1805,20003,38.88151005,-76.99666265,"Capitol Hill","Ward 6"
2,0,"Hot Water Rad","Y",11,4,1920,1960,2,"2000-08-02 00:00:00",189950,2066,"2 Story","Good Quality","Average","Common Brick","Built Up","Hardwood",1,1,1161,20002,38.90595681,-76.99804108,"Old City 1","Ward 6"
3,0,"Forced Air","Y",6,3,1910,1960,2,"2006-07-06 00:00:00",610020,2258,"2 Story","Good Quality","Average","Stucco","Built Up","Wood Floor",1,0,5532,20002,38.90199731,-76.99582668,"Old City 1","Ward 6"
2,0,"Hot Water Rad","Y",5,2,1900,1964,1,"2016-09-26 00:00:00",846470,1476,"1 Story","Average","Good","Wood Siding","Comp Shingle","Wood Floor",1,0,2079,20003,38.88205726,-76.99348706,"Capitol Hill","Ward 6"
1,1,"Forced Air","Y",6,3,1900,1961,2,"2001-10-19 00:00:00",301050,1427,"2 Story","Average","Good","Stucco","Neopren","Hardwood",1,2,1099,20003,38.88145878,-76.99406487,"Capitol Hill","Ward 6"
2,0,"Hot Water Rad","Y",5,2,1900,1954,2,"2002-08-30 00:00:00",355980,1120,"2 Story","Average","Average","Common Brick","Metal- Sms","Hardwood",1,0,2000,20003,38.88526344,-76.99352687,"Capitol Hill","Ward 6"
2,1,"Forced Air","Y",6,3,1900,1969,2,"2013-05-13 00:00:00",814560,1636,"2 Story","Good Quality","Good","Common Brick","Metal- Sms","Wood Floor",1,0,2000,20003,38.88531902,-76.99352675,"Capitol Hill","Ward 6"
2,0,"Hot Water Rad","Y",6,3,1904,1960,2,"2015-12-17 00:00:00",1182200,1856,"2 Story","Good Quality","Good","Common Brick","Metal- Sms","Hardwood",1,3,4561,20003,38.88336479,-76.99688097,"Capitol Hill","Ward 6"
1,1,"Forced Air","Y",4,2,1938,2002,2,"2008-08-06 00:00:00",495220,1120,"2 Story","Average","Good","Wood Siding","Metal- Sms","Carpet",1,1,1143,20002,38.89493704,-76.99442847,"Old City 1","Ward 6"
1,1,"Hot Water Rad","Y",6,3,1908,1964,2,"2014-12-03 00:00:00",794850,1344,"2 Story","Average","Good","Stucco","Neopren","Wood Floor",1,0,1463,20003,38.88811206,-76.99866111,"Capitol Hill","Ward 6"
1,0,"Hot Water Rad","Y",4,2,1900,1964,1,"2017-07-25 00:00:00",800510,1239,"1 Story","Average","Good","Stucco","Metal- Sms","Wood Floor",1,2,2078,20003,38.88195331,-76.99351576,"Capitol Hill","Ward 6"
3,1,"Hot Water Rad","Y",9,4,1899,1975,3,"2009-12-08 00:00:00",1301270,3686,"3 Story","Good Quality","Good","Common Brick","Metal- Sms","Hardwood",1,3,2115,20003,38.88858129,-76.99054574,"Old City 1","Ward 6"
1,1,"Hot Water Rad","N",4,2,1920,1964,2,"2016-11-16 00:00:00",833350,1344,"2 Story","Average","Good","Wood Siding","Comp Shingle","Hardwood",1,1,1840,20003,38.89009939,-76.99331054,"Capitol Hill","Ward 6"
3,1,"Hot Water Rad","Y",10,3,1922,1982,2,"1992-03-16 00:00:00",325680,2414,"2 Story","Good Quality","Good","Common Brick","Metal- Sms","Hardwood/Carp",1,1,4760,20003,38.88670333,-76.99522983,"Capitol Hill","Ward 6"
2,1,"Forced Air","Y",6,3,1890,1972,2,"2001-10-22 00:00:00",480770,2772,"2 Story","Very Good","Very Good","Common Brick","Built Up","Hardwood",1,1,1517,20003,38.88287939,-76.99597417,"Capitol Hill","Ward 6"
3,1,"Hot Water Rad","Y",5,3,1876,1978,2,"2013-12-17 00:00:00",1127880,2070,"2 Story","Average","Good","Vinyl Siding","Metal- Sms","Hardwood",1,3,1773,20003,38.88845471,-76.99280872,"Capitol Hill","Ward 6"
2,1,"Forced Air","Y",6,3,1900,1967,2,"2014-07-25 00:00:00",992680,1872,"2 Story","Above Average","Good","Common Brick","Neopren","Hardwood",1,2,1558,20003,38.88795138,-76.99240593,"Capitol Hill","Ward 6"
2,1,"Forced Air","Y",8,2,1908,1972,2,"2017-03-09 00:00:00",1518480,1940,"2 Story","Very Good","Very Good","Common Brick","Metal- Sms","Hardwood",1,1,3531,20003,38.88822303,-76.99307212,"Capitol Hill","Ward 6"
2,1,"Forced Air","Y",6,3,1900,1964,2,"2011-05-03 00:00:00",468980,1440,"2 Story","Average","Good","Stucco","Built Up","Hardwood",1,0,2165,20002,38.9015157,-76.98965496,"Old City 1","Ward 6"
2,0,"Warm Cool","Y",6,3,1900,1964,2,"2003-01-07 00:00:00",367700,1400,"2 Story","Average","Good","Stucco","Metal- Sms","Hardwood/Carp",1,1,1616,20003,38.8858651,-76.99077443,"Old City 1","Ward 6"
1,1,"Forced Air","Y",7,3,1900,1964,2,"2006-12-12 00:00:00",675970,1880,"2 Story","Average","Good","Aluminum","Built Up","Hardwood",1,2,1788,20003,38.8790908,-76.99206148,"Old City 1","Ward 6"
1,0,"Warm Cool","Y",4,1,1980,1992,1,"2002-07-02 00:00:00",117780,526,"1 Story","Above Average","Average","Common Brick","Metal- Sms","Hardwood",1,1,403,20002,38.89876474,-76.98791947,"Old City 1","Ward 6"
3,0,"Forced Air","Y",8,3,1911,1977,3,"2018-06-07 00:00:00",1058760,1986,"3 Story","Good Quality","Good","Common Brick","Metal- Sms","Wood Floor",1,2,742,20003,38.88886807,-76.98999325,"Old City 1","Ward 6"
2,1,"Forced Air","Y",6,3,1900,1964,2,"2000-04-19 00:00:00",298800,2520,"2 Story","Average","Good","Wood Siding","Built Up","Hardwood",1,2,2399,20003,38.88678943,-76.99053572,"Old City 1","Ward 6"
